Rank,state,population
1,California,39029342.00
2,Texas,30029572.00
3,Florida,22244823.00
4,New York,19677151.00
5,Pennsylvania,12972008.00
6,Illinois,12582032.00
7,Ohio,11756058.00
8,Georgia,10912876.00
9,North Carolina,10698973.00
10,Michigan,10034113.00
11,New Jersey,9261699.00
12,Virginia,8683619.00
13,Washington,7785786.00
14,Arizona,7359197.00
15,Tennessee,7051339.00
16,Massachusetts,6981974.00
17,Indiana,6833037.00
18,Missouri,6177957.00
19,Maryland,6164660.00
20,Wisconsin,5892539.00
21,Colorado,5839926.00
22,Minnesota,5717184.00
23,South Carolina,5282634.00
24,Alabama,5074296.00
25,Louisiana,4590241.00
26,Kentucky,4512310.00
27,Oregon,4240137.00
28,Oklahoma,4019800.00
29,Connecticut,3626205.00
30,Utah,3380800.00
31,Puerto Rico,3221789.00
32,Iowa,3200517.00
33,Nevada,3177772.00
34,Arkansas,3045637.00
35,Mississippi,2940057.00
36,Kansas,2937150.00
37,New Mexico,2113344.00
38,Nebraska,1967923.00
39,Idaho,1939033.00
40,West Virginia,1775156.00
41,Hawaii,1440196.00
42,New Hampshire,1395231.00
43,Maine,1385340.00
44,Montana,1122867.00
45,Rhode Island,1093734.00
46,Delaware,1018396.00
47,South Dakota,909824.00
48,North Dakota,779261.00
49,Alaska,733583.00
50,District of Columbia,671803.00
51,Vermont,647064.00
52,Wyoming,581381.00
