Province,Region,Q3_2022,Q4_2022,Q1_2023,Q2_2023,Q3_2023
Newfoundland and Labrador,Atlantic,531583,533444,534964,536291,538605
Prince Edward Island,Atlantic,167188,169146,169935,171790,173787
Nova Scotia,Atlantic,1025445,1035666,1040195,1047803,1058694
New Brunswick,Atlantic,809568,817766,820943,826622,834691
Quebec,Central Canada,8672185,8730868,8767038,8814007,8874683
Ontario,Central Canada,15145006,15283961,15378179,15457075,15608369
Manitoba,Prarie Provinces,1413409,1423596,1432674,1443875,1454902
Saskatchewan,Prarie Provinces,1178422,1187607,1194869,1200540,1209107
Alberta,Prarie Provinces,4510891,4561350,4598444,4645229,4695290
British Columbia,West Coast,5356284,5403528,5431355,5466646,5519013
Yukon,North,43905,44113,44386,44596,44975
Northwest Territories,North,44685,44664,44515,44678,44972
Nunavut,North,40485,40431,40521,40481,40673
